"","20210326_31020935670_21R4973AZZA_03.RCC","20210326_31020935670_21R6065AZZA_02.RCC","20210326_31020935670_21R6805AZZA_09.RCC","20210326_31020935670_21R7500AZZA_04.RCC","20210326_31020935670_21R7511AZZA_01.RCC","20210326_31020935670_21R7772AZZA_05.RCC","20210326_31020935670_21R9253AZZA_07.RCC","20210326_31020935670_21R9387AZZA_08.RCC","20210623_208994081021_RN21R3425AZZAA_11.RCC","20210623_208994081021_RN21R3996AZZAB_10.RCC","20210623_208994081021_RN21R5653AZZAB_09.RCC","20210623_208994081021_RN21R6723AZZAB_01.RCC","20210623_208994081021_RN21R7618AZZAB_04.RCC","20210623_208994081021_RN21R7921AZZAA_05.RCC","20210623_208994081021_RN21R9370AZZAB_03.RCC","20210623_208994081021_RN21R9727AZZAA_08.RCC","20210623_208994081021_RN21R9918AZZCA_02.RCC","20220624_209393930622_RN21R2533AZZAA_07.RCC","20220624_209393930622_RN21R2960AZZAA_09.RCC","20220624_209393930622_RN21R2966AZZAA_12.RCC","20220624_209393930622_RN21R3890AZZAA_11.RCC","20220624_209393930622_RN21R5628AZZAA_10.RCC","20220624_209393930622_RN21R8427AZZAA_06.RCC","20220624_209393930622_RN21R9372AZZAA_08.RCC","20220727_209421330722_RN21R3807AZZAA_03.RCC","20220727_209421330722_RN21R5295AZZBA_01.RCC","20220727_209421330722_RN21R8948AZZAA_02.RCC"
"CD58",5.067,4.253,5.191,4.904,6.613,5.69,5.318,7.185,5.8,6.311,6.924,5.649,6.321,6.137,6.315,7.27,6.492,7.171,6.414,6.659,5.636,7.602,6.165,6.681,9.974,3.81,5.436
"CD6",4.45,4.367,3.616,3.471,4.052,5.135,2.685,6.121,4.363,5.513,7.57,6.467,4.689,3.62,5.787,6.048,3.836,5.144,5.288,6.244,5.832,4.99,6.328,4.795,7.99,9.058,6.386
"CD68",9.934,9.475,8.437,9.285,8.336,10.519,9.472,10.132,7.572,5.894,10.534,11.35,11.772,10.055,9.984,9.095,9.084,11.734,8.873,10.32,10.27,9.939,10.61,13.452,10.711,10.897,10.603
"CD69",5.865,5.595,4.949,5.258,4.887,8.153,7.521,7.507,6.948,5.773,9.072,6.543,7.652,6.877,7.484,8.665,5.152,7.886,6.221,7.413,7.589,6.628,8.41,8.436,8.338,9.68,6.706
"CD7",6.791,3.312,2.83,3.237,2.627,4.22,3.573,6.77,4.478,4.253,7.444,5.167,4.321,5.333,5.05,6.311,3.165,5.835,4.636,5.466,5.064,4.405,4.608,4.441,5.531,9.395,4.738
"CD70",3.602,1.764,2.616,3.471,2.286,4.105,2.823,5.832,4.026,4.171,6.648,4.083,1.952,3.843,4.124,6.229,3.836,5.531,5.414,4.981,4.809,6.521,4.221,4.857,8.231,4.395,4.706
"CD74",14.635,15.315,11.637,12.488,12.38,14.482,14.919,15.285,11.202,13.53,14.092,14.892,15.613,16.182,14.966,13.674,13.261,15.512,13.926,15.806,15.912,15.383,14.986,15.168,12.634,13.827,15.772
"CD79A",4.244,3.845,2.557,3.056,3.08,6.542,2.363,6.054,4.17,6.693,8.466,6.26,3.759,4.877,6.601,8.463,2.658,6.443,5.151,11.408,7.815,3.82,5.379,4.857,5.853,9.591,7.922
"CD79B",3.046,1.649,1.142,2.319,2.701,3.768,2.756,3.832,3.363,4.359,5.859,3.194,3.615,2.45,3.025,5.726,2.658,3.028,4.414,4.746,4.176,4.99,3.106,4.178,7.701,6.98,4.001
"CD80",7.271,6.312,4.038,4.471,5.187,6.895,4.611,7.185,6.61,4.711,8.529,6.923,8.152,7.245,6.717,7.311,5.293,8.397,4.829,7.182,7.255,6.068,7.464,7.915,8.338,6.395,7.647
"CD84",8.399,6.63,6.28,7.995,6.953,8.337,6.971,9.011,5.778,5.664,9.509,10.001,9.877,8.215,9.241,8.584,7.097,10.541,4.636,9.146,8.712,7.843,8.36,10.786,7.231,10.095,8.368
"CD86",6.49,4.832,4.914,5.149,4.107,5.403,4.553,5.947,4.17,4.049,5.859,7.639,8.04,6.99,6.802,7.048,5.61,7.326,5.151,6.925,5.662,5.908,6.587,8.332,8.175,7.764,5.672
"CD8A",5.225,5.14,4.672,5.931,4.589,6.34,3.823,8.088,3.685,5.431,8.072,7.761,4.859,5.381,6.883,6.949,4.111,7.71,5.736,7.624,7.064,5.99,5.806,6.104,8.816,8.51,7.456
"CD8B",3.659,2.456,2.616,4.056,2.772,4.164,2.27,5.121,2.363,4.664,6.859,5.823,3.455,3.698,5.1,7.095,3.054,5.028,5.636,4.981,4.942,6.068,3.521,4.441,9.286,9.68,5.129
"CD96",4.841,4.909,3.181,3.056,4.187,7.421,9.546,8.369,5.204,6.581,8.985,7.891,8.194,5.826,6.635,7.27,3.732,6.572,6.288,6.636,7.014,6.405,6.565,5.763,6.116,11.228,6.853
"CDC20",5.558,7.337,7.737,4.435,6.237,5.012,5.341,6.362,5.927,7.399,5.859,6.923,6.262,7.245,6.717,7.095,7.813,6.869,6.077,7.359,6.596,6.727,4.608,5.441,8.175,2.81,5.77
"CDC25C",4.316,5.633,5.248,1.471,4.379,2.842,4.806,4.247,3.585,4.964,4.722,5.234,4.455,5.428,3.972,5.141,5.741,4.443,4.829,4.359,4.024,5.628,2.843,3.857,5.853,2.81,4.001
"CDH1",11.794,12.293,10.209,6.388,10.631,10.956,10.88,11.053,9.311,10.4,7.758,10.759,12.485,12.169,10.732,9.903,9.585,9.058,11.053,10.862,12.886,10.383,9.269,7.566,9.338,10.333,12.225
"CDH11",8.248,6.307,7.098,8.851,7.08,9.507,10.485,12.116,8.585,7.468,11.249,9.085,13.316,8.467,9.511,11.121,9.746,11.142,9.937,10.623,9.447,7.178,10.434,8.602,8.923,6.269,8.004
"CDH2",7.775,4.707,9.25,10.226,9.356,9.744,6.064,10.368,4.636,5.315,9.931,9.02,4.615,6.035,5.693,7.999,6.906,9.403,5.999,7.244,7.737,6.678,7.972,9.142,10.175,5.132,5.396
"CDH5",5.686,4.312,4.329,5.416,7.516,5.824,5.132,8.002,5.948,5.874,6.648,6.181,4.922,5.58,5.521,6.999,6.575,7.488,5.636,7.273,6.636,5.727,6.521,5.763,7.779,5.395,5.291
"CDK2",8.738,9.064,8.736,6.988,9.058,9.585,8.614,9.952,9.381,9.559,8.609,9.104,9.531,9.351,9.031,10.107,8.772,9.536,8.352,9.939,8.994,9.608,8.896,7.972,9.597,7.395,8.789
"CDK6",6.609,6.874,6.564,7.843,5.789,7.639,8.601,8.437,4.478,6.272,8.283,8.124,5.996,5.66,7.005,7.141,9.409,9.021,9.336,7.504,6.33,6.521,7.354,8.543,8.531,7.81,6.268
"CDKN1A",8.72,7.591,9.624,10.109,10.219,8.727,8.55,9.529,7.414,8.137,8.908,9.741,10.25,9.207,7.656,8.987,8.635,8.894,7.736,7.67,8.603,8.843,8.06,9.998,9.054,8.132,8.501
"CDKN1C",6.558,5.89,7.566,8.071,6.805,7.12,5.855,6.054,6.45,4.552,6.1,9.804,7.422,7.399,5.262,7.048,7.908,7.531,7.806,5.944,6.121,5.99,6.302,8.897,8.116,5.617,6.456
"CDKN2A",5.168,5.934,4.162,5.673,6.114,6.043,5.513,6.947,7.506,7.109,8.939,7.594,6.596,5.6,6.787,9.024,10.284,8.747,6.687,7.757,5.212,8.068,6.565,5.886,9.701,7.51,5.55
"CDKN2B",5.497,5.988,4.7,5.592,5.274,6.869,7.734,6.154,6.696,7.012,7.155,7.405,6.793,7.635,6.465,7.311,8.628,6.653,5.414,7.273,5.877,5.908,6.691,6.053,8.438,6.132,5.375
"CEACAM3",5.128,3.108,2.83,3.056,3.549,4.427,3.533,5.662,2.948,4.767,6.859,3.394,4.274,3.698,5.539,6.533,5.025,6.488,5.414,6.15,4.662,6.28,5.521,5.519,8.957,4.81,4.375
"CEBPB",11.255,9.044,10.534,8.869,9.508,11.683,9.998,12.449,9.054,8.506,12.067,10.034,10.576,10.74,11.003,11.588,10.892,12.087,10.217,11.335,9.839,10.612,10.586,11.85,11.259,8.395,9.7
"CENPF",7.333,7.316,8.568,4.397,8.154,4.474,6.528,6.871,6.081,8.389,5.985,7.171,6.321,6.321,7.362,6.999,8.35,7.301,5.736,7.44,6.636,6.405,6.276,5.079,6.701,6.395,6.053
"CEP55",8.204,7.624,7.586,4.149,7.322,7.457,6.098,9.625,8.755,8.339,9.667,7.497,7.142,8.212,9.085,10.196,8.147,10.188,7.221,11.279,7.779,8.939,8.262,6.999,9.553,5.617,6.568
"CES3",4.513,8.694,3.016,4.877,1.187,5.963,4.685,5.185,7.948,3.832,5.4,4.725,3.367,7.708,7.106,3.141,3.41,3.765,8.662,6.359,7.731,6.068,7.661,4.178,7.779,6.269,8.84
"CHUK",8.873,8.325,8.542,8.435,8.656,9.178,7.766,10.254,9.575,8.957,9.422,8.324,9.095,9.237,9.033,9.889,8.78,9.886,7.662,10.689,8.871,9.133,9.328,8.735,8.701,7.132,9.019
"CLEC14A",5.673,3.151,4.495,5.215,4.683,5.043,5.036,6.966,2.1,5.188,3.4,5.37,5.321,5.151,5.24,6.141,6.317,6.935,4.636,7.373,4.809,5.727,6.249,4.795,7.923,2.81,3.568
"CLEC4E",3.28,2.234,1.557,2.957,1.839,3.22,1.533,4.984,3.363,3.526,5.985,2.14,2.689,3.698,2.802,6.229,1.218,4.443,5.636,2.659,3.761,5.405,4.106,3.079,8.286,5.132,3.053
"CLEC5A",7.225,5.253,4.938,3.319,2.627,7.724,7.161,5.984,5.363,2.789,6.207,6.819,9.915,6.893,8.063,7.999,7.142,6.691,5.636,5.788,6.596,7.798,6.75,8.849,7.923,5.81,6.664
"CLEC7A",7.912,6.539,6.147,6.516,6.701,7.833,7.218,7.482,6.044,6.539,10.482,9.612,10.153,7.982,6.548,9.454,7.32,9.515,7.114,7.998,9.199,8.562,9.535,10.87,9.085,10.63,8.805
"CLECL1",6.177,4.367,4.276,3.056,3.772,6.564,5.386,7.532,4.778,4.137,6.487,6.098,8.72,6.258,6.868,6.229,4.714,8.144,4.636,7.4,6.281,6.142,6.825,7.237,7.116,7.897,6.301
"CMKLR1",7.051,6.354,6.181,7.324,6.683,7.963,5.171,8.532,6.317,6.51,9.818,9.697,8.42,8.054,7.503,7.923,6.815,9.653,5.414,8.407,8.398,5.908,7.587,10.622,8.338,7.269,7.894
"CNTFR",3.766,2.234,5.549,7.696,2.549,7.051,1.533,4.469,3.237,4.12,7.207,3.024,2.367,2.035,2.677,5.726,1.41,5.25,4.414,3.829,4.024,5.405,3.691,4.441,7.853,3.81,2.568
"COL11A1",6.077,3.764,4.891,6.575,4.949,5.586,2.064,5.417,3.585,5.171,6.307,5.994,2.952,6.966,5.367,9.218,6.849,6.087,4.151,7.166,6.953,3.82,5.045,4.857,7.701,5.395,4.947
"COL11A2",3.28,3.994,2.364,4.673,2.701,5.403,2.27,4.984,4.822,7.135,6.722,3.761,1.952,3.974,3.539,8.481,2.498,5.028,6.473,4.118,3.855,6.727,4.913,4.519,9.286,4.81,3.706
"COL17A1",9.258,7.258,2.557,3.673,9.137,6.261,3.451,5.832,8.967,4.59,7.354,8.514,8.468,9.156,5.521,8.601,3.111,10.959,10.395,5.182,7.255,8.106,4.328,3.079,7.231,5.98,5.638
"COL4A5",4.602,2.818,5.48,8.185,9.49,8.451,8.408,6.569,4.865,4.733,7.685,7.907,3.068,6.02,6.883,9.196,5.668,8.509,7.321,4.907,5.378,7.142,9.958,8.795,7.779,4.81,6.153
"COL5A1",7.38,5.75,3.972,4.471,8.461,7.869,3.451,9.456,7.4,5.822,9.55,7.54,4.689,7.934,8.085,11.939,8.245,11.794,9.563,9.942,9.405,6.142,7.972,7.519,6.531,6.395,8.966
"COL6A3",7.173,6.667,5.016,4.397,7.464,5.564,3.611,8.807,6.755,7.307,10.044,9.116,6.455,10.009,9.68,12.254,9.186,12.264,5.414,11.487,10.538,3.405,8.464,7.26,7.779,7.132,8.846
"COMP",4.889,2.386,2.431,2.957,2.286,3.52,2.27,4.91,4.1,2.915,5.859,2.609,3.068,5.205,2.802,10.919,2.218,4.613,3.829,4.566,4.024,4.82,3.106,3.079,7.338,2.81,2.416
"CPA3",4.206,2.707,1.142,3.056,1.964,3.768,2.363,4.362,3.585,3.389,5.985,2.832,4.827,6.934,4.539,6.949,3.54,5.35,3.414,3.981,8.725,4.405,3.521,4.178,5.531,5.98,5.375
"CRABP2",10.095,10.29,9.073,6.696,5.863,8.059,4.592,9.714,9.016,6.753,6.792,12.258,10.152,8.966,10.809,9.301,11.064,10.228,7.937,13.444,8.225,6.521,11.576,5.629,11.046,9.365,11.026
"CSF1",8.271,6.812,6.334,7.471,5.093,9.092,5.831,9.247,8.566,5.91,9.128,7.761,9.392,6.86,10.258,8.311,7.382,9.326,6.999,9.796,8.484,8.809,7.691,9.117,9.364,6.395,7.431
"CSF1R",10.384,7.537,9.448,10.491,7.557,9.353,8.604,10.456,6.72,6.318,11.158,11.191,11.632,9.761,9.895,8.551,9.676,11.645,6.687,9.939,9.579,8.628,9.563,12.243,7.438,11.479,9.284
"CSF2",3.912,5.151,2.779,3.904,2.286,5.043,4.871,6.417,4.585,3.894,6.307,3.649,6.2,7.013,4.89,5.463,2.87,6.572,5.529,4.659,6.394,7.843,5.947,3.972,8.957,4.395,5.375
"CSF2RB",3.482,3.421,2.926,3.542,3.665,5.378,2.685,6.216,3.778,4.59,7.207,5.221,6.011,4.405,5.741,6.463,3.165,6.572,5.736,5.829,6.083,6.628,5.806,6.611,8.485,9.38,6.041
"CSF3",0.958,1.064,1.557,2.471,-0.621,2.52,1.823,4.121,2.1,2.915,5.207,0.439,1.367,-0.55,1.802,5.463,-0.59,4.25,3.829,2.659,0.855,3.405,1.521,1.857,5.531,2.81,0.246
"CSF3R",9.482,5.877,8.31,6.172,4.994,7.618,5.986,9.76,5.392,8.509,9.258,7.929,9.366,6.405,10.03,6.999,5.723,9.021,5.736,7.051,7.338,7.82,8.691,9.283,7.779,10.799,6.947
"CST2",3.351,1.764,1.779,2.957,0.964,2.327,2.363,6.019,-0.222,0.745,5.57,2.832,3.068,3.91,3.305,6.048,2.41,4.443,4.151,4.566,3.942,4.142,3.843,3.857,4.531,4.395,2.568
"CTAG1B",2.28,1.064,1.779,1.734,2.839,2.105,1.533,4.362,2.1,-0.67,5.207,1.024,1.689,2.45,-0.783,4.726,-0.005,4.443,3.414,3.659,2.176,2.82,0.521,2.272,3.531,3.81,1.246
"CTLA4",5.513,4.871,2.495,3.793,3.934,6.462,3.064,5.947,5.135,5.827,9.343,5.947,5.225,6.826,6.183,7.814,2.498,7.71,4.999,7.4,7.447,5.82,7.608,6.647,8.74,8.617,7.396
"CTNNB1",11.815,10.954,12.007,11.441,10.984,11.827,13.064,12.455,10.979,11.062,11.471,11.992,13.466,12.837,12.075,11.429,11.359,12.151,11.701,13.11,12.016,12.251,11.792,11.767,11.245,9.96,11.311
"CTSS",12.231,10.9,10.427,9.209,10.461,10.226,10.574,10.164,9.328,9.894,10.619,13.21,12.537,11.944,11.261,10.559,9.74,12.109,9.63,12.536,11.322,10,12.102,13.265,10.575,14.096,12.221
"CTSW",3.865,4.909,4.415,2.957,2.08,3.327,4.064,6.77,3.778,3.675,5.859,6.654,4.827,3.45,3.305,6.463,2.658,6.25,4.999,5.118,5.281,5.28,5.328,4.178,8.701,8.918,5.053
"CX3CL1",10.729,5.086,7.93,9.906,5.692,10.812,8.656,10.6,8.178,8.515,9.455,9.82,11.074,10.863,10.073,10.711,8.743,11.152,10.57,9.55,9.203,9.955,7.464,6.575,8.779,6.132,8.981
"CX3CR1",8.016,2.649,7.789,10.061,2.187,7.623,5.234,9.033,2.1,3.722,8.283,6.047,7.567,4.974,6.494,6.389,7.111,7.374,2.829,4.359,4.942,6.82,5.521,7.411,6.853,9.318,3.638
"CXCL1",5.528,7.349,10.202,3.397,6.763,6.68,8.856,9.725,4.907,3.578,8.859,6.975,11.395,5.517,8.512,8.186,9.158,8.943,6.077,5.907,6.102,8.929,7.136,9.775,9.798,4.395,5.104
"CXCL10",8.6,9.588,5.329,7.138,7.694,8.059,3.855,7.507,7.772,6.759,11.386,10.951,7.652,9.165,9.484,9.331,8.281,9.525,5.636,10.059,9.884,6.213,8.269,7.401,9.231,8.167,9.816
"CXCL11",5.482,5.075,3.902,3.734,5.477,2.52,1.685,4.984,3.237,3.5,7.258,7.489,2.952,6.484,5.787,6.048,4.62,5.691,4.829,7.529,5.877,4.82,3.98,3.272,6.531,4.81,5.355
"CXCL12",4.816,3.49,4.601,5.704,4.839,6.628,3.064,8.77,7.37,7.372,13.001,6.706,3.455,6.63,7.082,10.072,5.696,9.608,4.999,9.46,7.979,6.775,6.608,6.154,8.957,4.395,5.689
"CXCL13",4.088,5.14,3.431,3.471,4.488,3.768,5.397,5.121,3.1,4.722,8.258,7.184,1.952,3.772,6.397,12.829,0.995,5.903,4.636,9.403,7.034,4.99,4.769,3.731,6.531,5.395,7.177
"CXCL14",6.883,8.167,10.258,11.817,4.237,9.998,2.685,6.891,4.17,4.03,7.955,9.406,12.046,7.982,10.617,10.903,3.965,7.935,5.999,6.541,13.181,6.727,9.818,9.277,7.338,11.202,13.492
"CXCL16",8.269,8.485,6.795,6.524,6.843,7.378,7.933,6.728,6.347,5.621,7.529,8.518,8.716,7.759,9.005,7.756,7.641,8.691,6.352,9.126,8.963,7.548,7.598,9.496,6.701,6.81,8.892
"CXCL2",8.032,8.202,10.664,6.6,9.13,12.504,9.404,11.918,13.071,6.952,13.457,9.484,11.646,9.734,12.49,11.963,9.414,11.595,9.603,9.678,11.921,12.319,10.809,11.833,11.054,7.395,9.808
"CXCL3",3.659,5.865,7.217,4.609,4.994,8.553,5.329,5.362,8.237,4.102,7.155,6.878,6.486,6.345,8.297,6.141,6.57,6.198,5.736,3.466,7.785,7.03,7.521,10.27,9.389,5.81,7.599
"CXCL5",2.865,3.871,8.517,4.575,2.187,7.127,3.064,4.832,6.623,2.745,9.58,4.797,5.996,4.736,6.959,6.463,4.677,9.747,4.999,4.829,8.466,5.908,6.565,7.226,8.286,6.51,5.621
"CXCL6",4.631,1.649,3.83,3.471,3.701,4.378,2.533,8.673,4.907,4.711,13.654,4.194,5.725,3.45,6.772,7.949,6.018,7.116,6.584,5.118,5.346,7.178,2.843,5.826,9.871,5.395,3.153
"CXCL8",5.316,8.341,8.897,4.237,10.097,10.305,6.294,9.366,6.559,4.067,10.974,8.488,10.01,9.405,9.807,9.625,8.528,8.623,9.095,6.244,9.436,11.142,8.74,13.592,13.799,7.617,7.559
"CXCL9",7.769,9.073,4.983,3.056,8.66,5.946,3.171,7.291,4.1,7.37,6.648,11.563,6.298,5.79,9.933,6.896,5.741,7.058,5.916,9.647,8.855,5.628,7.554,5.886,8.923,6.395,8.564
"CXCR2",4.128,2.312,4.867,4.103,2.701,3.69,4.493,5.947,3.478,3.603,6.1,3.725,4.274,3.258,4.61,6.463,3.054,5.028,5.736,4.359,3.439,5.82,5.73,4.972,7.438,8.538,3.706
"CXCR3",3.659,3.312,2.059,3.542,3.134,4.52,2.823,5.054,4.237,4.745,7.155,5.548,4.225,4.308,4.972,6.665,3.218,5.35,5.288,5.302,5.609,6.28,4.221,4.441,7.618,7.132,5.416
"CXCR4",9.638,6.722,6.487,5.435,7.549,8.623,7.701,9.557,6.332,8.567,11.233,8.64,8.831,9.399,8.424,9.949,6.56,9.072,6.151,8.259,10.115,9.221,9.781,9.332,10.519,10.975,9.077
"CXCR6",3.351,3.618,2.364,2.734,3.737,4.275,1.948,4.247,3.237,4.513,6.207,6.285,4.859,4.538,5.05,3.726,1.41,5.903,4.829,6.659,4.984,5.99,5.428,4.857,8.816,6.98,5.416
"CXorf36",6.138,4.982,4.83,6.349,6.719,7.09,5.823,10.477,5.45,6.915,9.343,7.382,5.707,6.817,6.78,8.68,7.446,9.52,4.829,8.818,8.413,6.28,8.269,6.857,8.338,3.81,6.94
"CYBB",10.59,9.077,8.67,10.136,9.191,11.271,9.5,12.227,9.983,8.585,12.503,12.011,12.43,10.376,11.904,10.609,9.65,13.106,7.61,12.154,11.249,10.493,11.355,13.069,9.597,10.693,11.173
"DAB2",8.003,6.381,5.792,6.103,5.692,7.059,7.273,7.52,6.026,6.713,9.74,9.387,9.75,7.67,7.733,7.999,9.411,8.959,6.783,7.517,7.477,7.213,7.221,10.323,8.923,8.365,6.974
"DDB2",8.634,7.449,7.07,7.596,9.471,9.27,8.198,9.9,9.077,8.607,8.924,6.87,8.577,7.445,7.959,9.281,7.172,9.552,9.018,9.743,8.432,9.096,8.64,8.38,9.597,7.939,8.527
"DEFB134",3.128,2.649,2.495,4.149,1.187,4.043,1.948,5.054,3.778,3.389,4.722,2.439,1.689,2.91,3.305,5.726,4.054,4.903,4.636,2.659,1.855,6.068,4.521,3.272,7.779,3.81,2.831
"DEPTOR",9.121,8.397,7.176,8.554,6.374,7.659,9.972,7.138,5.585,8.344,7.4,7.382,9.013,7.772,6.685,7.27,7.886,7.171,7.529,9.228,7.034,8.296,8.587,7.359,9.438,5.617,7.504
"DKK1",4.573,2.871,3.495,4.194,1.964,6.886,3.408,5.362,3.478,3.204,6.307,3.194,2.952,5.473,3.61,6.999,3.768,5.765,2.829,3.466,4.984,4.142,3.328,4.593,4.531,2.81,3.053
"DLL1",5.206,6.456,6.943,7.309,7.531,6.796,3.823,6.929,4.778,6.188,7.1,5.322,4.122,4.877,4.677,7.601,4.165,6.397,7.352,6.541,4.809,6.405,7.543,7.538,8.286,4.395,4.416
"DLL4",5.645,5.678,5.472,4.734,4.979,6.824,4.318,9.162,6.135,7.83,7.155,5.405,5.068,5.926,6.741,7.974,5.668,7.397,5.288,7.466,6.687,6.142,7.73,4.972,7.701,4.395,6.375
"DNMT1",10.258,8.546,9.048,8.575,8.779,9.876,8.386,10.393,11.001,10.152,10.307,9.817,9.856,9.466,10.278,10.365,9.917,10.397,9.272,11.145,9.36,9.703,9.703,9.434,9.054,8.591,8.91
"DPP4",10.608,10.617,6.016,5.559,3.772,7.754,10.499,9.548,7.301,7.333,6.207,8.793,9.855,11.445,9.705,8.024,5.305,7.572,9.195,10.485,9.287,9.555,8.052,7.202,8.853,7.058,8.515
"DTX3L",9.939,10.07,8.995,7.87,9.285,9.051,11.311,9.295,9.713,8.395,10.207,10.746,10.84,11.327,9.644,9.024,10.185,9.71,9.086,10.687,9.119,9.685,8.745,9.723,9.66,9.655,9.669
"DTX4",9.923,7.211,6.229,8.509,7.237,7.142,7.821,7.984,7.414,7.51,6.985,7.668,9.6,7.137,8.37,8.741,4.293,7.144,5.829,7.868,7.877,6.575,8.985,7.305,9.835,7.269,7.879
"DUSP1",10.898,9.231,8.786,8.204,11.581,10.013,11.702,7.376,9.478,7.096,9.433,10.847,10.766,11.695,9.03,9.107,11.597,9.426,11.462,7.302,11.58,11.113,11.308,12.038,9.721,9.764,10.345
"DUSP2",3.28,4.33,3.616,4.734,3.286,5.248,6.699,4.469,8.344,3.359,5.57,6.478,3.952,5.205,4.89,5.726,3.62,4.903,4.999,3.659,4.102,2.82,5.379,5.359,7.531,5.395,5.104
"DUSP5",8.227,7.698,6.329,8.213,8.849,10.439,9.469,10.336,11.738,9.094,11.289,8.081,9.842,9.994,8.234,10.018,10.25,10.021,9.105,10.767,9.532,10.562,9.949,9.62,10.023,8.202,9.977
"E2F3",8.836,7.643,8.394,8.237,9.146,7.526,8.485,7.673,8.131,8.226,7.758,8.719,8.395,9.041,7.588,8.463,9.211,7.42,8.529,7.085,7.767,8.312,8.666,7.655,8.957,7.454,7.762
"EDN1",8.503,6.447,4.572,5.891,6.03,6.749,5.329,7.262,8.378,6.307,9,6.743,5.793,8.962,6.839,7.665,4.82,8.454,9.123,7.244,7.102,5.628,7.74,5.915,7.531,5.395,6.079
"EGF",3.766,7.263,5.381,4.877,3.134,7.02,7.578,8.08,6.648,7.385,6.307,6.971,7.213,8.817,7.47,6.896,3.732,5.443,6.414,5.566,6.832,8.124,8.829,4.593,7.116,7.939,6.386
"EGFR",10.664,10.114,8.358,7.738,10.49,9.955,10.542,8.76,10.685,7.426,10.713,10.287,9.078,9.316,10.374,11.291,9.4,10.147,12.054,11.854,10.143,9.221,9.781,5.593,9.66,7.897,9.256
"EGR1",8.492,8.193,8.915,9.407,12.998,10.585,11.228,7.185,6.685,7.49,8.876,11.112,10.176,11.214,9.317,9.341,10.769,7.919,10.41,7.085,10.387,9.078,11.607,11.421,8.853,9.236,10.152
"EIF2AK2",9.698,9.631,8.909,9.499,9.028,9.346,9.444,9.485,10.495,8.832,11.141,10.089,9.972,11.078,9.554,10.351,9.972,9.869,8.916,11.207,9.336,8.98,8.774,9.62,8.701,9.854,9.588
"EIF2B4",7.43,6.645,6.713,7.489,8.516,8.082,6.708,8.224,9.035,8.111,8.466,7.612,7.851,7.731,8.18,7.726,7.359,8.157,7.584,8.73,7.86,8.03,7.179,7.647,9.023,7.202,7.943
"EIF4EBP1",8.754,7.213,9.963,7.044,9.131,7.586,9.958,8.557,8.174,8.745,9.258,9.699,8.812,9.858,8.599,8.711,9.499,8.35,7.999,9.595,7.855,9.169,9.266,9.822,10.691,8.236,7.85
"EIF5AL1",3.28,3.018,2.431,3.793,1.379,3.427,2.533,5.706,3.1,3.915,5.57,1.899,2.952,1.45,1.802,6.141,1.995,4.25,5.151,3.244,2.439,6.213,2.521,4.178,8.175,2.81,2.053
"ELOB",6.791,7.061,6.402,7.05,5.772,6.164,6.451,5.947,5.967,5.424,6.1,5.26,7.827,6.035,4.575,6.389,4.918,5.967,6.529,6.244,5.899,6.678,7.076,5.026,7.779,6.897,5.816
"ENO1",12.951,13.282,12.605,12.688,13.082,12.628,13.408,13.399,13.416,13.151,13.33,13.464,14.159,14.11,14.134,13.774,14.003,12.51,13.203,14.493,13.829,13.818,12.306,12.946,13.023,12.415,13.102
"ENTPD1",8.376,6.757,7.07,7.931,6.776,8.124,7.252,9.456,6.958,7.574,8.924,9.336,9.57,8.729,8.251,8.463,8.935,9.751,6.221,8.829,8.565,7.03,8.968,8.915,8.575,10.029,8.522
"EOMES",2.659,2.234,2.495,1.149,2.379,2.52,2.064,4.749,3.478,1.993,2.4,5.788,2.537,2.258,3.387,5.141,1.58,4.443,3.829,3.981,4.555,3.405,4.428,2.857,5.853,5.132,3.77
"EPCAM",11.373,9.777,10.633,3.734,10.079,8.192,11.392,10.6,10,10.82,9.087,10.538,11.881,9.988,11.173,11.304,11.748,8.643,10.963,13.268,10.671,11.473,10.758,4.272,9.618,8.643,10.749
"EPM2AIP1",8.759,7.664,9.068,9.404,8.245,8.528,9.456,8.269,9.2,7.887,8.859,9.192,9.563,9.347,8.281,8.389,8.456,8.362,8.458,8.479,8.398,9.535,8.829,8.787,8.66,10.747,8.875
"ERBB2",11.201,10.156,9.355,8.152,14.433,10.272,9.698,10.052,9.629,10.564,8.509,9.564,10.009,9.662,10.679,9.68,9.626,8.301,9.655,11.443,9.411,9.826,10.32,6.338,7.618,7.51,9.839
"ERO1A",9.463,9.703,10.134,7.985,9.77,8.146,11.03,7.984,7.902,7.152,6.924,11.035,10.938,10.11,9.49,9.311,10.89,8.397,9.937,9.826,8.926,10.068,7.806,10.74,10.531,9.058,9.859
"ESR1",5.003,2.871,3.329,1.734,2.286,4.327,4.27,0.662,5.1,5.049,6.859,4.167,5.891,4.58,7.005,7.633,4.803,5.443,6.077,4.907,4.439,7.575,6.106,4.731,7.923,5.132,4.375
"EXO1",6.158,5.531,7.231,3.85,5.298,4.729,5.27,5.247,5.8,5.94,5.57,5.629,5.011,5.205,6.273,6.949,6.262,5.903,5.529,6.359,5.346,6.775,6.136,3.857,7.779,3.81,3.568
