"","20210326_31020935670_21R4973AZZA_03.RCC","20210326_31020935670_21R6065AZZA_02.RCC","20210326_31020935670_21R6805AZZA_09.RCC","20210326_31020935670_21R7500AZZA_04.RCC","20210326_31020935670_21R7511AZZA_01.RCC","20210326_31020935670_21R7772AZZA_05.RCC","20210326_31020935670_21R9253AZZA_07.RCC","20210326_31020935670_21R9387AZZA_08.RCC","20210623_208994081021_RN21R3425AZZAA_11.RCC","20210623_208994081021_RN21R3996AZZAB_10.RCC","20210623_208994081021_RN21R5653AZZAB_09.RCC","20210623_208994081021_RN21R6723AZZAB_01.RCC","20210623_208994081021_RN21R7618AZZAB_04.RCC","20210623_208994081021_RN21R7921AZZAA_05.RCC","20210623_208994081021_RN21R9370AZZAB_03.RCC","20210623_208994081021_RN21R9727AZZAA_08.RCC","20210623_208994081021_RN21R9918AZZCA_02.RCC","20220624_209393930622_RN21R2533AZZAA_07.RCC","20220624_209393930622_RN21R2960AZZAA_09.RCC","20220624_209393930622_RN21R2966AZZAA_12.RCC","20220624_209393930622_RN21R3890AZZAA_11.RCC","20220624_209393930622_RN21R5628AZZAA_10.RCC","20220624_209393930622_RN21R8427AZZAA_06.RCC","20220624_209393930622_RN21R9372AZZAA_08.RCC","20220727_209421330722_RN21R3807AZZAA_03.RCC","20220727_209421330722_RN21R5295AZZBA_01.RCC","20220727_209421330722_RN21R8948AZZAA_02.RCC"
"TP53",8.395,10.112,8.551,7.86,9.23,7.542,10.498,7.871,8.992,8.592,8.233,7.834,9.407,8.879,8.397,8.617,6.874,8.13,9.329,7.577,8.579,9.238,9.256,8.411,8.66,7.717,9.174
"TPI1",11.518,10.682,11.712,11.875,11.624,12.043,11.327,12.728,11.923,12.005,12.786,11.475,12.133,12.564,12.916,12.985,11.507,11.939,12.078,12.803,12.071,13.317,12.038,11.505,12.419,10.219,11.687
"TPM1",10.898,10.73,8.853,9.282,10.124,9.982,7.212,11.388,9.686,10.639,12.881,9.222,8.376,9.439,10.868,12.665,9.325,11.991,10.062,11.975,10.553,9.142,10.821,8.818,9.974,8.96,9.699
"TPSAB1/B2",5.067,3.193,2.059,4.471,1.839,4.979,3.118,7.054,2.1,4.403,6.924,3.024,4.827,7.422,4.741,7.389,3.165,6.301,4.999,4.466,9.451,6.142,1.521,5.826,9.054,4.395,6.246
"TRAF1",8.093,5.871,4.949,7.032,5.434,7.729,4.773,7.277,8.378,7.245,7.924,7.032,5.615,6.79,7.461,7.499,4.995,7.835,8.221,7.962,8.004,6.82,8.838,7.237,9.203,7.333,8.008
"TRAT1",3.418,3.896,2.059,3.056,3.237,3.979,2.611,4.91,2.948,4.964,6.722,5.629,3.174,4.094,4.075,4.726,2.317,4.25,4.636,4.746,5.832,4.99,5.106,4.272,6.338,9.617,5.738
"TREM1",7.082,6.626,9.688,4.435,4.286,8.477,7.043,8.063,5.301,4.832,6.307,7.895,8.948,9.737,7.865,7.427,6.46,7.747,9.603,10.474,7.979,9.95,8.598,10.647,9.231,8.132,8.104
"TREM2",9.672,6.732,7.663,8.444,7.674,8.71,7.697,9.174,6.187,5.762,9.868,10.593,11.512,9.233,9.286,6.896,8.801,10.341,6.736,9.574,8.776,8.195,7.73,11.203,8.66,6.717,9.077
"TRIM21",7.351,8.015,6.435,6.183,7.25,7.268,7.424,8.488,7.245,6.988,8.955,7.77,8.675,8.849,7.89,8.164,6.529,8.289,7.255,8.166,7.569,8.01,8.037,8.237,8.66,7.668,8.274
"TSLP",3.351,2.386,3.101,4.149,1.549,5.012,3.79,5.984,1.363,2.699,5.722,3.14,3.274,3.91,3.539,5.141,2.658,5.028,5.151,3.981,4.314,6.142,4.328,4.593,7.531,2.81,3.153
"TTC30A",6.986,7.8,7.515,7.074,6.767,5.586,8.569,5.569,4.685,3.832,5.207,7.072,6.725,8.039,5.644,5.842,7.656,5.028,7.501,5.566,5.102,6.775,5.475,6.272,7.231,4.81,5.706
"TWF1",9.806,10.59,9.69,9.877,10.491,9.935,10.606,10.213,8.502,10.504,9.6,10.932,10.785,11.251,9.971,9.785,10.593,9.878,8.557,11.069,9.21,9.826,9.394,10.723,10.914,9.167,9.228
"TWIST1",2.865,2.649,1.672,2.319,3.379,3.69,2.611,6.639,4.1,4.012,7.044,2.832,3.537,3.45,4.217,8.799,3.054,7.116,5.999,6.387,4.712,6.344,3.521,4.731,8.74,5.132,3.416
"TWIST2",1.766,1.386,1.557,2.609,2.08,3.105,3.064,4.121,0.778,1.445,5.207,1.609,1.367,2.45,1.539,4.141,-0.005,1.443,3.414,3.659,2.176,1.82,0.521,2.272,5.531,3.81,1.568
"TYMP",9.134,9.15,7.953,7.621,8.419,9.419,8.821,10.243,9.387,7.152,11.826,10.208,10.617,11.737,10.872,10.158,9.33,10.853,9.321,10.594,9.819,9.78,9.102,10.748,9.618,10.086,10.445
"TYMS",9.181,8.289,8.026,7.476,8.718,8.471,7.344,8.997,10.667,9.515,9.955,8.193,9.313,8.161,9.148,10.567,9.463,9.608,7.636,10.072,8.439,9.204,8.811,7.471,8.923,6.132,6.974
"UBA7",8.662,7.635,6.568,6.665,7.154,9.613,7.461,9.736,10.435,9.151,10.54,8.217,8.112,8.608,9.641,10.286,7.278,9.618,9.169,10.383,8.596,9.375,9.269,7.937,7.99,7.854,8.617
"UBE2C",7.566,8.285,9.065,1.957,7.164,5.963,6.246,6.443,6.546,8.984,7.529,7.761,7.135,7.271,6.932,8.741,8.686,7.171,6.529,7.359,6.102,7.653,6.165,5.664,9.054,5.98,5.904
"UBE2T",5.617,6.177,7.205,4.507,4.569,4.22,6.228,5.832,5.61,6.071,6.1,6.061,6.333,6.966,5.367,6.949,7.072,5.35,5.636,6.273,6.102,6.865,5.475,4.519,9.054,5.81,4.77
"ULBP2",4.816,5.075,3.805,5.172,3.134,5.164,4.064,5.616,5.026,6.233,6.307,4.629,4.321,4.258,5.66,7.141,5.329,7.058,6.916,6.051,4.662,6.405,4.106,5.481,9.338,5.132,4.246
"VCAM1",5.543,6.119,4.83,5.749,4.737,7.378,3.978,7.088,5.026,5.292,7.892,7.147,3.827,6.868,6.876,7.567,6.658,8.157,5.636,8.472,6.454,5.521,6.221,6.557,8.531,5.617,5.722
"VCAN",8.917,9.484,7.689,9.116,6.938,9.844,10.1,9.295,12.111,8.407,12.396,9.542,9.744,11.056,10.15,13.662,9.075,12.066,8.151,9.816,11.01,10.87,12.496,12.694,9.508,14.153,9.583
"VEGFA",11.199,11.65,8.855,8.317,10.839,12.079,8.749,12.653,13.775,10.729,9.809,9.541,8.982,10.241,9.741,11.669,9.52,12.228,11.68,12.28,11.872,12.026,12.957,11.38,10.485,9.114,10.892
